SchoolName,Pincode,District
TOWN BALYA BIKASH SIKSHA SADAN,785621,Golaghat
SAHITYA CHARYA SYED ABDUL MALIK JV,785618,Golaghat
VIVEK ANAND PUBLIC SCHOOL,785618,Golaghat
ALPINE ENGLISH SCHOOL,785614,Golaghat
JYOTISMAN BORA JATIYA BIDYALAYA,785614,Golaghat
DONBOSCO HIGH SCHOOL,785614,Golaghat
MARIA NIVAS SCHOOL,785614,Golaghat
SHISHU BHARATI ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,785614,Golaghat
SHANKRDEV SISHU NIKETON DERGAON,785614,Golaghat
UDAYAN ACADEMY,785614,Golaghat
ROYAL ACADEMY JUNIOR COLLEGE,785614,Golaghat
SANKAR DEV SISU NEKATON,785618,Golaghat
DISOIPORIYA JATIYA VIDYALAYA,785614,Golaghat
BRAHMAPUTRA SANKAR DEV SISU NI,785614,Golaghat
HOLY GRACE SCHOOL,785614,Golaghat
GYANAM JATIYA VIDYALAYA,785614,Golaghat
DADHARA ADARSHA JATIYA BIDYAPITH,785614,Golaghat
DERGAON JATIYA VIDYALAY,785614,Golaghat
RADIANT COLLEGE,785614,Golaghat
ANJALI BORBORA MEMORIAL ACADEMY,785602,Golaghat
PRANAB VIDYAPITH,785602,Golaghat
KRISHNAGURU VIDYAJYOTI,785602,Golaghat
AMRIT INTERNATIONAL SCHOOL,785602,Golaghat
C.B MEMORIAL ENGLISH SCHOOL,785604,Golaghat
SANCHA MEMORIAL ENGLISH ACADEMY,785601,Golaghat
GURU PADMA INSTITUTE OF MAHAYANA BUDDHIST EDUCATION,785601,Golaghat
LITTLE ANGEL'S ENGLISH SCHOOL,785601,Golaghat
SARATHI ACADEMY,785602,Golaghat
JATIYA VIDYALAYA CHAKALI,785602,Golaghat
GONDHAKOROI JATIYA VIDYALAYA,785601,Golaghat
OLYMPIC ENGLISH HIGH SCHOOL,785604,Golaghat
SRD PUBLIC SCHOOL,785601,Golaghat
NAOJAN HOLY CROSS HIGH SCHOOL,785601,Golaghat
NAOJAN JATIYA VIDYALAYA,785604,Golaghat
SHAKESPEARIUM CO-EDUCATION SCHOOL,785602,Golaghat
ST. MARTIN'S ENGLISH SCHOOL,785601,Golaghat
BAROGHORIA JATIYA VIDYALAYA,785601,Golaghat
MORNING GLORY ENGLISH SCHOOL,785601,Golaghat
RAJAPUKHURI JATIYA VIDYALAYA,785601,Golaghat
ST MOSES ENGLISH SCHOOL,785602,Golaghat
LITTLE FLOWER ENGLISH SCHOOL,785602,Golaghat
