SchoolName,Pincode,District
KUJU PATHER JATIYA VIDYALAYA,786174,Tinsukia
JYOTI VIDYAPEETH,786156,Tinsukia
MAX PUBLIC SCHOOL,786154,Tinsukia
OXFORD ACADEMY,786154,Tinsukia
GYANDEEP JATIYA VIDYALAYA,786154,Tinsukia
GYANDEEP HIGH SCHOOL,786156,Tinsukia
SATH BHONI JATIYA VIDYALAYA,786156,Tinsukia
KACHIDOYA JATIYA VIDYALAYA,786151,Tinsukia
MODERN ENGLISH SCHOOL,786160,Tinsukia
ST. PATRICK'S HIGH SCHOOL,786160,Tinsukia
MODERN ENGLISH ACADEMY,786160,Tinsukia
PHILLOBARI SENIOR SECONDARY SCHOOL,786160,Tinsukia
SUNRISE ENGLISH ACADEMY,786160,Tinsukia
SHANKARDEV SISHU NIKETON,786160,Tinsukia
CHIKARAJAN JATIYA VIDYALAYA,786160,Tinsukia
RUPJYOTI LPS,786151,Tinsukia
KRISHNAGURU DIBYAJYOTI VIDYALAYA,786151,Tinsukia
SAINT STANISLAUS SCHOOL,786174,Tinsukia
BORDUBI HIGH SCHOOL,786151,Tinsukia
RONGAJAN JATIYA VIDYALAYA,786153,Tinsukia
DISNEYLAND ENGLISH ACADEMY,786156,Tinsukia
IRIS ENGLISH SCHOOL,786152,Tinsukia
SANKARDEV SISHU BIDYA NIKETON,786152,Tinsukia
GREEN VALLEY ACADEMY,786151,Tinsukia
"JATIYA VIDYALAYA, PENGEREE",786174,Tinsukia
BURHIDIHING SENIOR SECONDARY SCHOOL,786174,Tinsukia
MUGONG M.E SCHOOL,786174,Tinsukia
GLOBAL GEMS SCHOOL,786174,Tinsukia
LITTLEANGEL ACADEMY,786174,Tinsukia
MUNGONG PATHER JATIYA VIDYALAYA,786174,Tinsukia
VIVEKANANDA KENDRA VIDYALAYA,786181,Tinsukia
BLOOMING BUDS,786181,Tinsukia
JATIYA BIDYALAYA,786171,Tinsukia
DHEKIAJAN JATIYA VIDYALAYA,786171,Tinsukia
JERUEL ENGLISH SCHOOL,786188,Tinsukia
MOUNT CARMEL SCHOOL,786188,Tinsukia
LAKLA KANGKAN M.E SCHOOL,786188,Tinsukia
