SchoolName,Pincode,District
VIVEKANANDA VIDYA NIKETON,782481,Karbi Anglong
SANKARDEV JATIYA BIDYALAY,782481,Karbi Anglong
SHANKARDEV VIDYA NIKETAN,782481,Karbi Anglong
SIRKANGNEP ENGLISH M.E.SCHOOL,782460,Karbi Anglong
MODERN ENGLISH HIGH SCHOOL,782460,Karbi Anglong
MINI ENGLISH L.P.SCHOOL,782460,Karbi Anglong
MINI ENGLISH M.E. SCHOOL,782460,Karbi Anglong
RONGMONJIR L.P. SCHOOL,782460,Karbi Anglong
KARE HANSEPI MEMORIAL ENGLISH SCHOOL,782460,Karbi Anglong
DHANIRAM MEMORIAL ENGLISH HIGH SCHOOL,782460,Karbi Anglong
NEW DAWN ENGLISH SCHOOL,782460,Karbi Anglong
NEW DAWN ENGLISH L.P. SCHOOL,782460,Karbi Anglong
EVEREST ENGLISH SCHOOL,782470,Karbi Anglong
MOUNT SEA WIND TRINITY ENG.,782460,Karbi Anglong
BADAN MEMORIAL HIGH SCHOOL,782460,Karbi Anglong
ERUDITE ACADEMY,782460,Karbi Anglong
KLIRDAP SANKARDEV SISHU NIKETAN,782460,Karbi Anglong
HOLY KID'S ACADEMY,782462,Karbi Anglong
MT. CALVARY ENG. HIGH SCH.,782460,Karbi Anglong
ATURKIMI ACADEMY,782460,Karbi Anglong
LITTLE KIDS SCHOOL,782460,Karbi Anglong
ST MARY'S HIGH SCHOOL,782460,Karbi Anglong
NORTH POINT ENGLISH SCHOOL,782460,Karbi Anglong
DIPHU PALI VIDYALAYA,782460,Karbi Anglong
OXFORD MODEL ENG SCHOOL,782461,Karbi Anglong
SARASWATI VIDYA MANDIR,782461,Karbi Anglong
CALVARY HOME ACADEMY,782460,Karbi Anglong
SUNRISE ACADEMY ENG. HIGH SCH.,782460,Karbi Anglong
CHRISTIAN ENG. HIGH SCHOOL,782460,Karbi Anglong
KIDDIES CORNER ENGLISH SCHOOL,782470,Karbi Anglong
J.J.M. NICHOLS ROY MEMORIAL ENGLISH SCHOOL,782470,Karbi Anglong
MAHASHAY DHARAMPAL (MDH) DAYANAND ARYA VIDYA NIKETAN,782470,Karbi Anglong
KRIST JAYANTI SCHOOL,782470,Karbi Anglong
COVENANT HIGH SCHOOL,782460,Karbi Anglong
MT. SINAI ENGLISH SCHOOL,782460,Karbi Anglong
COVENANT ENGLISH SCHOOL,782461,Karbi Anglong
PRESBYTERIAN MISSION HIGH SCHOOL,782460,Karbi Anglong
HARMONY ACADEMY,782462,Karbi Anglong
MANJA BAPTISH ENG SCHOOL,782461,Karbi Anglong
LITTLE FLOWER ENG SCHOOL,782461,Karbi Anglong
PRESBYTERIAN MISSION SCH. INGLONGPO,782461,Karbi Anglong
HEMPHU ENGLISH L.P. SCHOOL,782461,Karbi Anglong
