"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"St. Mary's School hlo","MH9Q+2CF, Paikan, Assam 788155, India","788155","NA","03844 225 239","NA","https://maps.google.com/?cid=4828765162939536593","ChIJvVpqRQ0lTjcR0dTK8FQ4A0M"
"Al Ameen Institute of Education","MH9J+XMC, Sudorshonpur, Rangauti Pt II, Hailakandi, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=7096096172892042109","ChIJgyn1H3UlTjcRfTM9Xd9lemI"
"Little Blossoms English School","Railway Station, Bandar Gram Road, Oposit, Of, Hailakandi, Assam 788155, India","788155","NA","070862 37132","NA","https://maps.google.com/?cid=5249313168880102074","ChIJ93WgRQclTjcRuurg2YNO2Ug"
"Adarsha Vidyalaya, Aloicherra","9HQ4+XPV, Alaicherra Pt V, Assam 788165, India","788165","NA","NA","NA","https://maps.google.com/?cid=9463865788165629365","ChIJdZTOf-kbTjcRtaWV6cpnVoM"
"Pakhicherra MV School","JGRG+2XC, Kanchanpur Grant, Assam 788164, India","788164","NA","NA","NA","https://maps.google.com/?cid=13162887547780028890","ChIJ7XU0tS4nTjcR2lnXF3z4q7Y"
"Little Angel School, Karaikandi","Kinokal Road, Karaikandi Part II, Nazat Pur, Assam 788805, India","788805","NA","091019 05915","NA","https://maps.google.com/?cid=11197514170429588890","ChIJG2YCrtorTjcRmsXbn8-PZZs"
"Oriental High School, Hailakandi","09, Gudhmghat Rd, Sudorshonpur Sudorshonpur Hailakandi, Assam 788155, Sudorshonpur, Hailakandi, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=9219114759418467436","ChIJr-HKSZolTjcRbNSyWgfg8H8"
"Valley Flowers Central English Medium School","MHM9+MP9, Hailakandi-Ratanpur-Sahapur Rd, Purbagool, Hailakandi, Assam 788155, India","788155","NA","NA","https://valleyflowers.co.in/","https://maps.google.com/?cid=5927776458659154362","ChIJ232gT4QlTjcRuklNTkixQ1I"
"Sishu Niketan High School","Ratanpur Road,Hailakandi Town Word no 11, Bandukmara Grant, Hailakandi, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=7948094396995208871","ChIJmc2-h4UlTjcRpwYsRr5NTW4"
"Blue Flowers English Medium Higher Secondary School","Rabindra Sarani, Bashdahar, Hailakandi, Assam 788151, India","788151","NA","03844 222 508","NA","https://maps.google.com/?cid=8652308122863492632","ChIJbRtSapElTjcRGF6BVmUsE3g"
"Achievers International Public School","Sathanuru,Keragodu state hiway, Sathanuru, Karnataka 571402, India","571402","NA","085500 03336","http://www.achieversinternational.in/","https://maps.google.com/?cid=4658123420031290548","ChIJOwcUAkqhrzsRtIzkGpL6pEA"
"Vidyasagar English Medium School","Silchar Road Ward No: XII, Ward Number-12, Bashdahar, Hailakandi, Assam 788151, India","788151","NA","098641 58541","NA","https://maps.google.com/?cid=17959777856488024567","ChIJUU9e874lTjcR9ynlNM7yPfk"
