SchoolName
ST.DOMINICS CONVENT EM SCHOOL
UNIVERSAL PUBLIC SCHOOL PERIMBADARI
SREE GOKULAM PUBLIC SCHOOL
SNEHARAM SPECIAL SCHOOL MANALOOR
BHARATHIYA VIDYA BHAVAN'S KANJANI
SREE SAI VIDYA PEEDHOM MANGATTUKARA
SANTHWANAM SPECIAL SCHOOL PUTHENPEEDIKA
SERAPHIC EMLPS PERINGOTTUKARA
CARMEL ACADEMY CHALAKUDY
ST.THERESE SCHOOL ICSE NORTH CHALAKUDY
CARMEL HSS CHALAKUDY
VYASA VIDYA NIKETHAN CHALAKUDY
CMI PUBLIC SCHOOL CHALAKUDY
CRESCENT PUBLIC SCHOOL CHALAKUDY
CKM NSS SENIOR SECONDARY CHALAKUDY
MADONA SPECIAL SCHOOL POTTA
NOTRE DAME SCHOOL, VETTIKUZHY
FR MATHEW ALAKALM PUBLIC SCHOOL,MECHIRA
LITTLE FLOWER CONVENT EMLPS, KORATTY
JYOTHI ENGLISH MEDIUM SCHOOL, KONOOR
SN VIDYA NIKETHAN - KUTTICHIRA
SREE DHARMA SASTHAVIDYANIKETHAN, MELOOR
LF PUBLIC SCHOOL MURINGUR
ST ANTONY'S PUBLIC SCHOOL KORATTY
HOLY ANGEL LPS AROORMUZHY
ASRAYA BHAVAN TRANING CENTRE,POOVATHINGAL, PARIYARAM
KFT PUBLIC SCHOOL KUTTIKKAD
SREE SANKARA NSSEMUPS, CHETTARICKAL
RAJAH SEN. SEC. SCHOOL
MUKTHI EMS MUTHUVATTOOR
LITTLE FLOWER ENGLISH MEDIUM LP SCHOOL MAMMIYOOR
RPEES JUNIOR SCHOOL EDAKKAZHIYUR
GURUVAYUR DEVASWOM EMS
SREENARAYANA VIDYA NIKETHAN CENTRAL SCHOOL THIRUVATHRA
IDC ENGLISH HIGHER SECONDARY SCHOOL
AMRITA VIDYALAYAM
ISLAMIC ENGLISH SCHOOL
ST FRANCIS SCHOOL PALAYUR
MIC ENGLISH SCHOOL
THAQWA R.E.H.S ANDATHODE
RAHMATH ENGLISH HSS
AMAL ENGLISH SCHOOL
NATIONAL HUDA CENTRAL SCHOOL
ICA ENGLISH HIGHER SECONDARY SCHOOL VADAKKEKAD
LOURDE MATHA EMHS CHERPU
GURUKULAM PUBLIC SCHOOL VENGINISSERY
SANTA MARIA ACADEMY VALLACHIRA
HOLY FAMILY CONVENT SPECIAL SCHOOL VALLACHIRA
SANTHWANAM BUDS SCHOOL VENGINISSERY
HOLY CROSS CBSE EMR SCHOOL
EXCEL PUBLIC SCHOOL
ASSISI E.M.H.S.S THALAKKOTTUKARA KECHERY
DEPAUL EMHSS CHOONDAL
GOOD SHEPHERD CMI SCHOOL
BHARATHEEYA VIDYA VIHAR MAZHUVANCHERY
AL-ISLAH ENGLISH SCHOOL KECHERY
INFANT JESUS SPECIAL SCHOOL ERANELLUR
MAMBAUL HUDA ENGLISH SCHOOL KECHERY
NSS KUPS KADAVALLUR
DQRHS KALLUMPURAM
SIRAJUL ULOOM ENGLISH SCHOOL KALLUMPURAM
ANSAR ENGLISH SCHOOL
AL-HAYATH ENGLISH SCHOOL
CHAITHANYA SPECIAL SCHOOL FOR MENTALLY CHALLENGED CHILDREN
BETHANY ST JOHN'S EHSS KUNNAMKULAM
ST MMCLPS KANIPPAYYUR
ST MMCHS KANIPPAYYUR
IG ENGLISH SCHOOL
MUNAWARIYYA E SCHOOL
BLOOMING BUDS BETHANIA ENGLISH SCHOOL
AL AMEEN ENGLISH HIGH SCHOOL KARIKKAD
ANSAR SCHOOL OF SPECIAL EDUCATION
MARTHOMA EMUPS AZHICODE
SARASWATHY VIDYANIKETHAN EDAVILANGU
IDEAL ENGLISH SCHOOL EDAVILANGU
MITUPS ERIYAD
ST THOMAS CBSE SCHOOL KODUNGALLUR
AVILA CLPS KODUNGALLUR
PHOENIX PUBLIC SCHOOL
SANTA MARIYA EM LP School TKS Puram
AL AMEEN CHERAMAN MALIK PUBLIC SCHOOL
AURA EDIFY GLOBAL SCHOOL CHAPPARA
B V B VIDYAMANDIR
GURUSREE PUBLIC SCHOOL PULLUT
SANTHINIKETHAN CHANDAPURA
ST JOSEPH'S CEMSLPS KODUNGALLUR
VIDYODAYA ENGLISH MEDIUM LPS IRINJALAKUDA
SANTHI NIKETHAN PUBLIC SCHOOL IJK
PRATHEEKSHA TRAINING CENTRE IRINJALAKUDA
CHRIST VIDYANIKETHAN IJK
LISIEUX CONVENT ENGLISH MEDIUM HIGH SCHOOL KATTUNGACHIRA
ST DOMINIC CONVENT ENGLISH MEDIUM SCHOOL VELLANI
ALBAB CENTRAL SCHOOL KATTOOR
DON BOSCO LPS IRINJALAKUDA
SANGAMESWARA NSS EMHS IRINJALAKUDA
VIMALA CENTRAL SCHOOL THANISSERY
DON BOSCO CENTRAL SCHOOL IRINJALAKUDA
LISSIUEX LP SCHOOL KATTUNGACHIRA
ST. JOSEPH'S PUBLIC SCHOOL ,ANANDAPURAM
SREERAMAKRISHNA VIDHYANIKETHAN NANDIKKARA
ST JOHNS PUBLIC SCHOOL PARAPPUKKARA
ST. XAVIER'S CMI SCHOOL, PULLUR
DON BOSCO HSS IRINJALAKUDA
NIVEDITHA VIDYANIKETHAN MAPRANAM
GURUDEVA PUBLIC SCHOOL VARAKARA
HF CONVENT N LPS KALLUR
ST RAPHAEL'S PUBLIC SCHOOL KALLUR
ST CLELIA ENGLISH SCHOOL VALLAPADY
SARASWATHY VIDYA NIKETHAN CENTRAL SCHOOL
SREE NARAYANA VIDYA MANDIR CENTRAL SCHOOL KODALY
VIMAL JYOTHY CENTRAL SCHOOL MUPLIYAM
MARY MATHA ICSE SCHOOL PUDUKKAD
JESUS ACADEMY CBSE THALORE
LOURDU MATHA EMS INCHAKUNDU
LORD'S ACADEMY VARANDARAPILLY
VIVEKANANDA VIDHYA NIKETHAN
VIMALA HSS VELLIKULANGARA
CYRENE SPECIAL SCHOOL FOR MENTALLY HANDICAPPED
ST. LIOBA ACADEMY, PERAMBRA
HOLY GRACE ACADEMY MALA
HOLY CHILD CENTRAL SCHOOL SNEHAGIRI
Dr. RAJU DAVIS INTERNATIONAL SCHOOL, MALA
ST JOSEPH'S PUBLIC SCHOOL ALOOR
ST JOSEPH'S EMS PAZHOOKKARA
VIJAYAGIRI PUBLIC SCHOOL ANNALUR
VIVEKODAYAM VIDYAMANDIR ANNAMANADA
