School Name,Pincode,District
KESAVA REDDYCONCEPT,515001,Anantpur
KESAVAREDDY(EM),515001,Anantpur
PRASAD CON.,515001,Anantpur
SRI SATYA SAI JR.COLLEGE ALMUR ROAD,515002,Anantpur
SRI MASTER MINDS EMUP SCHOOL,515004,Anantpur
C.V.R MEMORIAL EM PS,515001,Anantpur
SAHITHI EM UPS,515002,Anantpur
SRI SAI VIDYAMANDIR EM UPS,515004,Anantpur
NAVATHA PUBLIC EM UPS,515004,Anantpur
SRI SAI VIGNAN EM school,515001,Anantpur
PRINCE OF PEACE EMUPS,515001,Anantpur
SAI VIGNAN EM HIGH SCHOOL,515001,Anantpur
SREE MURARI EM SCHOOLNANDAMURI NAGARANANTAPUR,515004,Anantpur
SRI VIVEKANADA JR COLEGE,515003,Anantpur
ANANTHA LAKSHMI ENGLISH MEDIUM,515001,Anantpur
S.K.U.CAMPAS HS,515003,Anantpur
RADHA SCHOOL OF LEARNING,515003,Anantpur
RADHA SCHOOL OF LEARNING,515003,Anantpur
SPHOORTHI VIDYA NIKH,515721,Anantpur
SETHU AMBIENT PS,515003,Anantpur
MASTERS JUNIOR COLLEGE ANANTAPURAMU,515001,Anantpur
SRI MASTERS JUNIOR COLLEGE ANANTAPURAMU,515001,Anantpur
NARAYANA JUNIOR COLLEGE GOOTY ROAD ANANTAPURAMU,515001,Anantpur
NARAYANA JUNIOR COLLEGE SAI NAGAR ANANTAPURAMU,515001,Anantpur
SREE VIVEKANANDA JUNIOR COLLEGE RAJ TOWERS KAMALA NAGAR ANAN,515001,Anantpur
SRI VIKAS JUNIOR COLLEGE BHIRAVA NAGAR ANANTAPURAMU,515001,Anantpur
CRESCENT ENGLISH MEDIUM S,515001,Anantpur
SRI GAYATRI JUNIOR COLLEGE,515001,Anantpur
ST.AUG PRIMARY SCHOOL (EM),515001,Anantpur
SIR C V RAMAN JUNIOR COLLEGE FOR GIRLS,515004,Anantpur
TRINITY E/M SCHOOL,515001,Anantpur
NARAYANA CONCEPT SCHOOL,515004,Anantpur
SRI SURYA VIDYA NIKETAN,515005,Anantpur
SREE VIDYA NIKETAN E/M P,515001,Anantpur
LAKSHMI E/M PRIMARY S.,515005,Anantpur
LITTLE FLOWER MONTESSORI,515001,Anantpur
SRI SARASWATHI VIEDEYA MA,515001,Anantpur
SPRINGDALE E/M SCHOOL,515001,Anantpur
ROTARY E/M P S,515001,Anantpur
SREE KRISHNA E/M H SCHOOL,515004,Anantpur
MAHATMA GANDHI E/M HS,515005,Anantpur
SRI RAMA KRISHNA VIDYALAY,515001,Anantpur
SRI GAYATRI E/M HIGH SCHO,515001,Anantpur
VISWABHARATHI E.M PRIMARY SCHOOL,515004,Anantpur
MINARWA E.M. PRIMARY SCHO,515001,Anantpur
GAUTAMY EM PRIMARY SCHOOL,515001,Anantpur
PRASANTHI VIDYANIKETHAN,515005,Anantpur
MONTESSORI SCHOOL,515001,Anantpur
SRI SAI E.M. SCHOOL,515001,Anantpur
SRI GNANADEEPIKA P. SCHOO,515001,Anantpur
ST. ANNS E.M. PRIMARY SC,515001,Anantpur
SRI SARASWATHI VIDYANIKET,515004,Anantpur
SRI SARASWATHI VIDYANIKETHAN EM HIGH SCHOOL,515004,Anantpur
SRI VANI ENGLISH MEDIUM,515001,Anantpur
SREE SAI VIDYA NIKETHAN,515001,Anantpur
RAVI RAJA ENGLISH MEDIUM SCHOOL,515004,Anantpur
BALAJI E.M.UP.SCHOOL,515001,Anantpur
SRI USHODAYA E.M.SCHOOL,515004,Anantpur
SREE SHIRDI SAI MOKSITH V,515001,Anantpur
JAWAHAR BHARATHI SCHOOL,515004,Anantpur
PRASAD CONCEPT EM HIGH SCHOOL,515004,Anantpur
SPRINGDALE E.M HIGH.SCHOOL,515001,Anantpur
SRI RAMAKRISHNA VIDYALAYA,515003,Anantpur
VISWABHARATHI E.M HIGH SCHOOL,515004,Anantpur
GOOD CHILDREN E/M SCHOOL,515004,Anantpur
LITTLE FLOWER E.M.HIGH SC,515001,Anantpur
ROTARY E.M.SCHOOL,515001,Anantpur
LAKSHMI E.M.HS,515005,Anantpur
CRESCENT E.M. HS,515001,Anantpur
SREE VIDYA NIKETHA E.M.HI,515001,Anantpur
MAHATMA GANDHI ENG.MED.HI,515005,Anantpur
SRI GAYITHRI E.M.SCHOOL,515001,Anantpur
SANTHI VIDYA NIKETAN E.M.,515001,Anantpur
SRI VIDYARANYA E/M. HIGH,515004,Anantpur
VIJAYA E/M P S AZADNAGAR,515001,Anantpur
MINERVA E.M. HS,515001,Anantpur
GAUTAMY EM HIGH SCHOOL,515001,Anantpur
PRASANTH VIDYA NIKETHAN,515005,Anantpur
"MONTESSORI EM HIGH SCHOOL, ANANTAPUR",515001,Anantpur
NARAYANA CONCEPT,515004,Anantpur
ST. ANNS E.M. HIGH SCHOO,515001,Anantpur
SREE JNANADEEPIKA E.M. HI,515001,Anantpur
RAMAN EM SCHOOL,515001,Anantpur
PRASADTALENTEM SCHOOL,515001,Anantpur
BHARATH VIDYANIKETHAN,515004,Anantpur
SRI VIKAS MODEL SCHO,515001,Anantpur
SRIKALA VIDYA NIKHET,515001,Anantpur
SRI CHAITANYA TALENTPRIMARY,515001,Anantpur
PACE EM PRIMARY SCHOOL,515001,Anantpur
BRUHASPATHI VIDYANIK,515001,Anantpur
RAOS EM H SCHOOL,515001,Anantpur
BRIGHT EM UP SCHOOL,515001,Anantpur
C.V.R. MEMORIAL H.S,515004,Anantpur
PRASAD TALENT SCHOOL,515001,Anantpur
RAMAN EM HS,515001,Anantpur
SREE SATHYA PUBLIC SCHOOL,515001,Anantpur
COSMOS FOUNDATION SCHOOL,515004,Anantpur
RAOS EM P SCHOOL,515001,Anantpur
RISHITA EM HS,515001,Anantpur
P.A.C.E.SCHOOL,515001,Anantpur
VIGNAN JUNIOR COLLEGE ANANTAPUR,515001,Anantpur
VIJAYAWADA NALANDA JUNIOR COLLEGE ANANTAPUR,515001,Anantpur
PRK JUNIOR COLLEGE ANANTAPUR,515001,Anantpur
SRI LAKSHMI NARASIMHA JR. COLLEGE ALAMUR ROADATP,515004,Anantpur
VIJAYAWADA NALANDA JUNIOR COLLEGE OF SCIENCE & ARTS,515001,Anantpur
"MONTESSORI SMART EM HIGH SCHOOL,ANANTAPUR",515001,Anantpur
ADRSHA SCHOOL OF LEARNING,515001,Anantpur
SRI SAI VIDYANIKETAN,515001,Anantpur
SRI SHIRDI SAI MOKSHIT HIGH SCHOO,515001,Anantpur
SETHU AMBIENT SHCOOL,515003,Anantpur
SRI CHAITANYA TECHNO PS SCHOOL,515001,Anantpur
SRI CHAITANYA TECHNO HIGH SCHOOL,515001,Anantpur
G00D CHILDREN EM HIGH SCHOOL,515004,Anantpur
CHRISTOS EM HIGH SCHOOL,515001,Anantpur
SRI CHAITANYA TALENT HIGHSCHOOL,515001,Anantpur
NARAYANA E TECHNO HIGH SCHOOL,515001,Anantpur
ANANTAPUR TALENT HIGH SCHOOL,515001,Anantpur
ANANTAPUR TALENT PRIMARY SCHOOL,515001,Anantpur
BRIGHT EM HIGH SCHOOL,515001,Anantpur
SRI SAI PRIMARY SCHOOL,505001,Anantpur
SREEKALAVIDYANIKETHAN E M HIGH SCHOOL,515001,Anantpur
PRK JUNIOR COLLEGE FOR GIRLS,515001,Anantpur
NARAYANA EM UP SCHOOL,515004,Anantpur
SRI SAI SAMPATH EM UPS,515001,Anantpur
SRI RAGHAVENDRA EM UPS,515001,Anantpur
NAVA BHARATHI PRIMARY SCHOOL,515004,Anantpur
RAVI RAJA EM HS,515004,Anantpur
SRI PRATHIBHA MODEL PRIMARY SCHOOL,515004,Anantpur
SRI PRATHIBHA MODEL HIGH SCHOOL,515002,Anantpur
AKSHARA EM PRIMARY SCHOOL,515001,Anantpur
ADHARSHA SCHOOL OF LEARNING,515004,Anantpur
V.V.MODEL EM HS,515001,Anantpur
BRUHASPATHI VIDYA NIKETHAN EM HS,515001,Anantpur
SRI USHODAYA EM SCHOOL,515001,Anantpur
VIJAYA EM PRIMARY SCHOOL,515001,Anantpur
MONTISSORI SMART PRIMARY SCHOOL,515001,Anantpur
SRI GNANA SARASWATI EM PRIMARY SCHOOL,515001,Anantpur
SRI GNANA SARASWATI EM HIGH SCHOOL,515001,Anantpur
SETHU EM UP SCHOOL,515004,Anantpur
KESAVA REDDY CONCEPT HS,515001,Anantpur
KESAVA REDDY CONCEPT PS,515001,Anantpur
BHASHYAM PUBLIC EM PS,515001,Anantpur
BHASHYAM PUBLIC EM HS,515001,Anantpur
SRI VANI EM UPS,515001,Anantpur
SRI SAI PREM EM SCHOOL,515001,Anantpur
GOWTHAM MODEL UPS,515004,Anantpur
SRI VIKAS MODEL EM HIGH SCHOOL,515001,Anantpur
LITTLE SCHOLARS EM UPS,515001,Anantpur
NARAYANA EM HIGH SCHOOL,515001,Anantpur
LAKSHMI SYNERGY SCHOOL,515005,Anantpur
KRISHNAVENI ENGLISH MEDIUM SCHOOL,515001,Anantpur
BRIGHT KIDS PRIMARY SCHOOL,515001,Anantpur
PRINCE OF PEACE EM SCHOOL,515001,Anantpur
WONDER KIDS EM SCHOOL,515004,Anantpur
SPLNS EM UP SCHOOL,515004,Anantpur
SRI CHAITHANYA EM HIGH SCHOOL,515001,Anantpur
SLV EM SCHOOL ANANTAPUR,515001,Anantpur
SRI SATHYA E.M HIGH SCHOOL SATYADEVA NAGAR,515001,Anantpur
BLOSSOOMS EM PRIMARY SCHOOL ARAVIND NAGAR,515001,Anantpur
S V JUNIOR COLLEGE ANANTAPUR,515001,Anantpur
SRI CHAITANYA JR COLLEGE NEAR RTC BUSTAND ANANTHAPURAMU,515001,Anantpur
SRI CHAITANYA EM SCHOOL SINGARAYA COLONY ANANTAPUR,515001,Anantpur
SRI CHAITANYA EM HIGH SCHOOL SINGAROYAL COLONY ANANTHAPURAMU,515001,Anantpur
SRI CHAITANYA EM HIGH SCHOOL SHIRDI NAGAR ANANTAPUR,515001,Anantpur
NARAYANA EM PRIMARY SCHOOL JESUS NAGAR ANANTAPUR,515001,Anantpur
SRI CHAITANYA EM PRIMARY SCHOOL SHIRDI NAGAR ANANTAPUR,515001,Anantpur
NARAYANA EM HIGH SCHOOL JESUS NAGAR ANANTAPUR,515001,Anantpur
"THE TRELLIS SCHOOL,ANANTAPUR",515001,Anantpur
KESAVAREDDY CONCEPT SCHOOL,515731,Anantpur
JEEVANI EM SCHOOL,515701,Anantpur
KESAVAREDDY CONCEPT SCHOOL,515731,Anantpur
-HS FOR HEARING IMPAIRED-RDT,515701,Anantpur
ANANTHA VIDYANIKETHAN,515701,Anantpur
ANANTHA VIDYANIKETHAN,515701,Anantpur
SRI SARASWATHI V NIKETAN,515701,Anantpur
SAI VIGNAN JR COLLEGE BUKKARAYASAMUDRAM,515001,Anantpur
S L N S EM SCHOOL,515701,Anantpur
WISE EM PUBLIC SCHOOL,515701,Anantpur
VANI ENG MED UP SCHOOL,515701,Anantpur
VANI E.M SCHOOL,515701,Anantpur
PRATIBHA EMSVENKATAPURAM,515701,Anantpur
SRI SHIRDI SAIVIDYANIKETHAN EM SCHOOL,515425,Anantpur
SEE NETHAJI ELMSCHOOL,515425,Anantpur
SARASWATHI VIDYA MANDIR,515425,Anantpur
SARASWATHI VIDYA MANDIR,515425,Anantpur
SEKHAR PUBLIC SCHOOL,515425,Anantpur
SHIRDISAI VIDYALAYAM,515425,Anantpur
USHODAYA VIDYANIKETA,515425,Anantpur
"LSRW F SCHOOL,NARPALA",515425,Anantpur
POOJITHA EMS NARPALA,515425,Anantpur
SVS CON SCHOOL NARPALA,515425,Anantpur
SRI NETHAJI EMS NARPALA,515425,Anantpur
LSRW FOUNDATION SCHOOL,515425,Anantpur
SKS PUBLIC SCHOOL GUGUDU,515425,Anantpur
SRI SAI KRUPA JUNIOR COLLEGENARPALA,515425,Anantpur
SURYA UPS KONDAPURAM,515445,Anantpur
SRI SAI VIJETHA EM PS,515414,Anantpur
RAYALASEEMA UP SCHOOL(EM),515414,Anantpur
VENKATESWARA EDN INSTI,515445,Anantpur
SRI SARADA U P SCHOOL,515465,Anantpur
SRISARADA ED SOCIETY,515465,Anantpur
SRI CHAITANYA SCHOOL,515465,Anantpur
L.R.G. PS RAPTADU,515002,Anantpur
ST VINCENT DEPAUL ENG MED,515003,Anantpur
L.R.G. HS RAPTADU,515002,Anantpur
ST.VINCENT DEPAVL E.M HIG,515003,Anantpur
HS FOR I.E.D,515003,Anantpur
SAI VIDYANIKETHAN,515722,Anantpur
SRUJANA EM SCHOOL,515002,Anantpur
MONTESSORI ELITE EM SCHOOL,515722,Anantpur
IMMUCULATE HEART EM S,515641,Anantpur
ROHITH EM SCHOOL,515641,Anantpur
LITTLE HEARTS EM SCHOOL,515787,Anantpur
SREE MURUTHI VIDYA MANDIR,515765,Anantpur
SREE SARADA VIDYA VIHAR U,515765,Anantpur
G HANUMANTHAIAH EM PS,515765,Anantpur
MANIDEEP E.M.SCHOOL,515671,Anantpur
SRI ARUNODAYA EM SCHOOL,515301,Anantpur
ST ANNS E.M HIGH SCHOLL KADIREPALLI,515305,Anantpur
TEJA VIDYAMANDIR E.M PRIMARY SCHOOL,515311,Anantpur
SMT. PRAMEELAMMA SRI KGA GUPTA JR.COLLEGE AGALI,515311,Anantpur
SMT PRAMEELAMMA AND SRI KGA GUPTA EM UP SCHOOL,515311,Anantpur
SREE MASINENI EM UP SCHOOL,515401,Anantpur
SRI CHAITANYA EM SCHOOL,515004,Anantpur
SRI VIVEKANANDA EM SCHOOL,515411,Anantpur
SRI SAI LAKSHMI VIDYANIKETHAN EM UP SCHOOL,515767,Anantpur
S.L.N.S EM HIGH SCHOOL,515701,Anantpur
SRI CHAITANYA EM SCHOOL,515001,Anantpur
MONTESSORI EM UP SCHOOL,515801,Anantpur
YASEEN EM HIGH SCHOOL,515003,Anantpur
GOOD CHILDREN ENGLISH MEDIUM SCHOOL,515002,Anantpur
BEST PU JUNIOR COLLEGE,515731,Anantpur
SR PRIME SCHOOL(EM),515001,Anantpur
TAG EM SCHOOL,515001,Anantpur
VYSHNAVI ENGLISH MEDIUM SCHOOL,515411,Anantpur
NARAYANA ENGLISH MEDIUM UPPER PRIMARY SCHOOL,515761,Anantpur
MARKAZ PUBLIC SCHOOL E.M U.P,515801,Anantpur
SRI VANI SMART EM SCHOOL,515411,Anantpur
THE LOTUS EM SCHOOL,515411,Anantpur
SRI SARASWATHI VIDYA MANDIRAM EM UP SCHOOL,515411,Anantpur
ELITE ENGLISH MEDIUM SCHOOL,515004,Anantpur
M S UNIVERSAL ENGLISH MEDIUM SCHOOL,515872,Anantpur
HIMAJA ENGLISH MEDIUM SCHOOL,515761,Anantpur
SRI SIVA SAI PRASANTHI PRIMARY SCHOOL,515004,Anantpur
SMART KIDZ PRIMARY SCHOOL,515001,Anantpur
SREE AKSHAYA EM PRIMARY SCHOOL,515001,Anantpur
ABC EM SCHOOL,515004,Anantpur
SRI VANI EM PRIMARY SCHOOL,515411,Anantpur
