School Name,Pincode,District
VIGNAN EM SCHOOL,515801,Anantpur
SRI VISWA VIGNAN EM SCHOL,515801,Anantpur
SRI VIDYA EM SCHOOL,515803,Anantpur
PRATIBHA VIKAS EM SCHOOL,515801,Anantpur
SRICHAITANYA TECHNO PS,515801,Anantpur
SRICHAITANYA TECHNO HS,515801,Anantpur
S.S.B.B.JR.COLLEGE FOR GIRLS GOOTY ROAD,515801,Anantpur
PALLAVI EM HIGH SCHOOL,515801,Anantpur
SRI RAGHAVA ENGLISH MEDIUM SCHOOL,515801,Anantpur
SRI SARASWATHI VIDYAMANDIR,515801,Anantpur
GOWTHAM(EM)HIGH SCHOOL,515801,Anantpur
ST PAUL EM SCHOOL,515801,Anantpur
SRI SARASWATHI VIDYAMANDIRAM HIGH SCHOOL,515801,Anantpur
SRI VIDYARTHI E.M SCHOOL,515803,Anantpur
SASTRA JUNIOR COLLEGE,515801,Anantpur
SRI CHAITANYA EM HIGH SCHOOL GUNTAKAL,515801,Anantpur
GOOD WILLS E.M.SCHOOL,515402,Anantpur
ST. MARYS E.M SCHOOL,515402,Anantpur
REHANA (E.M) PRIMARY SCHO,515402,Anantpur
REHANA E.M.HS,515402,Anantpur
GOODWILLS EM HIGH SCHOOL,515402,Anantpur
SREE RANGANATHA UP SCHOOL,515401,Anantpur
ADITYA EM SCHOOL,515401,Anantpur
SRI RANGANATHA UP SCHOOL,515401,Anantpur
ST.MARRYS (E.M) SCHOOL,515402,Anantpur
MAHARSHI DAYANANDA GURUKU,515401,Anantpur
SRI RAMANUJAN PUBLIC SCHO,515401,Anantpur
SRI SAI JR COLLEGE GOOTY,515401,Anantpur
PARADISE EM UP SCHOOL,515401,Anantpur
ADARSHA SCHOOL,515401,Anantpur
A.V.R.PRIMARY EM SCHOOL,515401,Anantpur
A.V.R. HIGH SCHOOL,515401,Anantpur
SAI CHAITANYA EM SCHOOL,515401,Anantpur
SAI CHAITANYA EM HIGH SCHOOL,515401,Anantpur
SREE MEDHA ENGLISH MEDIUM SHCOOL,515401,Anantpur
SREE SADHANA ENLGISH MEDIUM UP SCHOOL,515401,Anantpur
SREE SAI EM HIGH SCHOOL,515401,Anantpur
GOOD SHEPHERED EM SCHOOL,515401,Anantpur
GOOD SHEPHERD E.M SCHOOL,515401,Anantpur
MAHARSHI VIDYA VIKAS UP SCHOOL GOOTY,515401,Anantpur
MAHATMA JR COLELGE,515401,Anantpur
VIVEKANANDA PRIMARY SCHOO,515401,Anantpur
MAHARHI DAYANANDA GURUKRU,515401,Anantpur
CAPTAIN K K SWAMY MEMORIA,515401,Anantpur
LAL BHADUR SASTRI E.M.SCH,515401,Anantpur
SRI VISHNU VIDYA MANDIR,515401,Anantpur
VIVEKANANDA HIGH. SCHOOL,515401,Anantpur
CAPTAIN K K SWAMY MEMEROA,515401,Anantpur
PADMAVANI UP SCHOOL,515401,Anantpur
SRI SAI EM UP SCHOOL,515401,Anantpur
SRI RAMANJUJAN EM HS,515401,Anantpur
