pincode,areaName,districtId,statusId
741123,Brittihuda B.O,735,1
721232,Prasadchak BO,738,1
721149,Attrakhi BO,738,1
721149,Barbasi BO,738,1
721156,Patnabazar BO,738,1
721156,Talbandhi BO,738,1
721260,Buriapat BO,738,1
721260,Kharigeria BO,738,1
721260,Mohoboni BO,738,1
721260,Saiyadbali BO,738,1
721140,Kundalpal BO,738,1
721144,Chabukiauttarbarh BO,740,1
721160,Bansda Palashi BO,738,1
721160,Jashorajpur BO,738,1
721160,Radhachandanpur BO,738,1
721242,Dianpur BO,738,1
721242,Laxmipur BO,738,1
721242,Moulaparamanandapur BO,738,1
721242,Paikmajita BO,738,1
721144,Chaulkuri BO,738,1
721144,Dhamsai BO,738,1
721144,Fatechak BO,738,1
721253,Kiamacha BO,738,1
721253,Nalbana BO,738,1
721253,Guiadaha BO,738,1
721253,Nayabasat BO,738,1
721253,Sanatorium Digri BO,738,1
721146,Chechua Gobinda Nagar BO,738,1
721232,Kuthikonarpur BO,738,1
721232,Manoharpur BO,738,1
721136,Hariharpur BO,738,1
721136,Kankra Atmaram BO,738,1
721166,Dhaneswarpur BO,738,1
721166,Khunkhunia BO,738,1
721149,Hatsultanpur BO,738,1
721149,Janardanpur BO,738,1
721149,Pachra BO,738,1
721149,Tentulmuriuttar BO,738,1
721156,Akalpoush BO,738,1
721156,Ghoshdiha BO,738,1
721156,Magra BO,738,1
721260,Amdangra BO,738,1
721260,Garhsenapatya BO,738,1
721260,Sirsa BO,738,1
721260,Toria BO,738,1
721140,Aknageria BO,738,1
721140,Jamna BO,738,1
721140,Kantachowki BO,738,1
721140,Naya BO,738,1
721160,Dingal BO,738,1
721242,Srinagar BO,738,1
721144,Barjagu BO,738,1
721144,Bishnupur Bazar BO,738,1
721144,Khagrageria BO,738,1
721144,Lokepith Bishnupur BO,738,1
721144,Uttar Eral BO,738,1
721253,Ghoshkira BO,738,1
721253,Khamarbarh BO,738,1
721253,Mangalbandhi BO,738,1
721232,Kantadaraja BO,738,1
721232,Mangrul BO,738,1
721232,Marhmaheshpur BO,738,1
721232,Natuk Jaykrishnapur BO,738,1
721136,Barati BO,738,1
721136,Bhagirathpur BO,738,1
721136,Bikrampur BO,738,1
721136,Chakbajit BO,738,1
