pincode,areaName,districtId,statusId
494230,Belondi,145,1
495116,Kenda BO,134,1
495116,Semariya BO,134,1
495116,Tenganmada BO,134,1
495116,Umariyadadar BO,134,1
495004,Dhuma BO,134,1
494230,Dundabedma,145,1
494230,Baniyagaon,145,1
494347,Khalari B.O,145,1
494347,Kopra B.O,145,1
494347,Marangpuri B.O,145,1
494347,Titirwand B.O,145,1
494347,Kopra B.O,145,1
494237,Heerapur B.O,145,1
494237,Anantpur,145,1
494237,Budra,145,1
494237,Sitali,145,1
494237,Sodma,145,1
494237,Toranga,145,1
494010,Gadhiya B.O,131,1
494010,Ghotia B.O,131,1
494010,Mardum B.O,131,1
494010,Narayanpal B.O,131,1
494010,Sudhapal B.O,131,1
494010,Godiyapal B.O,131,1
494010,Takraguda B.O,131,1
494010,Arandwal,131,1
494010,Tirtha,131,1
494552,Badebedma B.O,135,1
494552,Bhusaras B.O,135,1
494552,Masenar B.O,135,1
494552,Pedka B.O,135,1
495224,Bartori BO,134,1
495224,Sewar BO,134,1
495112,Neora BO,134,1
495222,Hirri BO,134,1
495550,Janji BO,134,1
495550,Mudpar BO,134,1
495113,Bhaisajhar BO,134,1
495113,Bijaypur BO,134,1
495552,Bargawan BO,140,1
495552,Sankar BO,140,1
495552,Kapan BO,140,1
495559,Dongri BO,140,1
495559,Sonthi BO,140,1
495224,Badrathakur BO,151,1
495224,Sargaon BO,151,1
495668,Amora BO,140,1
495669,Bhaistara B.O,140,1
495669,Bodsara B.O,140,1
495669,Jarwe B.O,140,1
495669,Khaija B.O,140,1
495668,Kutra BO,140,1
495668,Munund BO,140,1
495669,Sarkhon B.O,140,1
495668,Taga BO,140,1
495552,Changori BO,140,1
495552,Katnai BO,140,1
495552,Kotmisonar BO,140,1
495552,Pandaria BO,140,1
495552,Piparsatti BO,140,1
495559,Bachhaud BO,140,1
495559,Budganan BO,140,1
495663,Amora BO,140,1
495663,Konar BO,140,1
495663,Kosa BO,140,1
495669,Pahariya B.O,140,1
495668,Semra BO,140,1
495669,Seoni B.O,140,1
495668,Siud BO,140,1
495668,Sukli BO,140,1
495559,Khamaria BO,140,1
495559,Khisora BO,140,1
495559,Mahuda BO,140,1
495559,Ponch BO,140,1
495559,Rasota BO,140,1
495668,Amoda BO,140,1
495668,Dhaneli BO,140,1
495668,Dharasiv BO,140,1
495668,Dhurkot BO,140,1
495669,Hardi J B.O,140,1
495668,Hardi S BO,140,1
495668,Khokhra BO,140,1
495669,Khokhsa B.O,140,1
495668,Kuthur BO,140,1
495113,Achanakmar BO,151,1
494635,Karmoti B.O,143,1
494635,Salhe B.O,143,1
494635,Chichgaon,143,1
494635,Chihro,143,1
494635,Jhitkatola,143,1
494635,Karathi,143,1
494335,Budeli B.O,143,1
494335,Kotalbhatti B.O,143,1
494335,Thema B.O,143,1
494335,Lendara,143,1
494335,Sarwandi B.O,143,1
494332,Chawad B.O,143,1
494552,Sameli B.O,135,1
494552,Koriras,135,1
494111,Burdi B.O,158,1
494111,Korra B.O,158,1
494111,Sonakuknar B.O,158,1
494111,Urmapal B.O,158,1
494442,Badebodenar B.O,131,1
494442,Badekilepal B.O,131,1
494442,Chingpal B.O,131,1
494442,Neganar B.O,131,1
494442,Telemarenga B.O,131,1
494442,Badekadma B.O,131,1
