pincode,areaName,districtId,statusId
110074,Fatehpur Beri S.O,758,1
110074,Satbari,758,1
110073,Mundela Kalan B.O,760,1
110041,Mundka SO,761,1
110059,Matiala B.O,761,1
110041,Bakkarwala B.O,761,1
110041,Hirankudna B.O,761,1
110041,Mundka B.O,761,1
110087,Peeragarhi B.O,761,1
110041,Nilothi B.O,761,1
110041,Tikri Kalan B.O,761,1
110063,Jawala Heri B.O,761,1
110073,Ghuman Hera B.O,760,1
110073,Issapur B.O,760,1
110073,Jafarpur B.O,760,1
110073,Khera Dabur B.O,760,1
110073,Raota B.O,760,1
110018,Chaukhandi B.O,761,1
110059,Hastal Village B.O,761,1
110059,Jeevan Park B.O,761,1
110073,Galib Pur B.O,760,1
110073,Malik Pur B.O,760,1
110073,Quazipur B.O,760,1
110041,Nangloi   II B.O,761,1
110041,Ranhola B.O,761,1
110041,Neelwal BO,761,1
110094,Dayalpur BO,755,1
110090,Khajoori Khas BO,755,1
110094,Johripur BO,755,1
110093,Mandoli Saboli BO,755,1
110090,Sabhapur BO,755,1
110090,Badarpur Khadar BO,755,1
110053,Garhi Mandu BO,755,1
110049,Sahpurjat BO,758,1
110014,Jeevan Nagar BO,758,1
110047,Aya Nagar BO,758,1
110080,Deoli BO,758,1
110076,Madanpur Khadar BO,758,1
110076,Ali BO,758,1
110036,Kadipur BO,754,1
110036,Mukhmelpur BO,754,1
110039,Pooth Khurd BO,754,1
110039,Mungeshpur BO,754,1
110081,Jaunti BO,756,1
110040,Bankner BO,756,1
110035,Rampura BO,756,1
110085,Rithala BO,756,1
110047,Mandi BO,758,1
110074,Fatehpur Beri BO,758,1
110074,Sanjay Colony Bhati Mines BO,758,1
110030,Gadaipur BO,758,1
110030,Lado Sarai BO,758,1
110074,CSKM School BO,758,1
110068,Maidan Garhi BO,758,1
110030,Sultanpur BO,758,1
110053,New Usmanpur BO,755,1
110061,Shahbad Mohammadpur BO,753,1
110037,Mahipalpur BO,753,1
110070,Masood Pur BO,753,1
110072,Jharoda Kalan B.O,760,1
110043,Jhatikara B.O,760,1
110010,Aps Colony BO,753,1
110043,Khaira B.O,760,1
110043,Daulatpur B.O,760,1
110043,Pandwala Kalan B.O,760,1
110043,Surehra B.O,760,1
110045,Dabri B.O,760,1
110045,Nasirpur B.O,760,1
110077,Dhulsiras B.O,760,1
110043,Kair B.O,760,1
110071,Badusarai B.O,760,1
110075,Amberhai B.O,760,1
110043,Dichaun Kalan B.O,760,1
110043,Dindarpur B.O,760,1
110043,Mitraon B.O,760,1
110043,Rewla Khanpur B.O,760,1
110091,Chilla BO,752,1
110044,Pul Pahladpur BO,758,1
110043,Tilangpur Kotla B.O,761,1
110047,Jaunapur BO,758,1
110074,Satbari BO,758,1
110030,Ghitorni BO,758,1
110038,Rajokari BO,753,1
110037,Nangal Dewat BO,753,1
