pincode,areaName,districtId,statusId
680001,"NODAL DELIVERY CENTER, THRISSUR",297,1
670301,Madakkara B.O,288,1
682052,Kakkanad NDC,286,1
683104,Kalamassery Development Plot BO,286,1
683104,Rajagiri BO,286,1
682504,Vallarpadam BO,286,1
682506,Kumbalam BO,286,1
682308,Bhaktanandapuram BO,286,1
682308,Ezhakkaranadu South BO,286,1
682308,Meempara BO,286,1
682305,Kokkappilly BO,286,1
682315,Amballur BO,286,1
682314,Paingarapilly BO,286,1
682314,Perumpilly BO,286,1
682306,Eroor West BO,286,1
682030,Kusumagiri BO,286,1
682315,Chethicode BO,286,1
682314,Pulickamaly BO,286,1
682314,Vettickal BO,286,1
682308,Thiruvaniyoor BO,286,1
682308,Varikoli BO,286,1
682305,Kadungamangalam BO,286,1
682030,Kakkanad West BO,286,1
682030,Thengod BO,286,1
682315,Marithazham BO,286,1
682314,Thalacode BO,286,1
682308,Ezhakkaranad BO,286,1
682308,Poothrikka BO,286,1
682308,Vadayampadi BO,286,1
682305,Kandanad BO,286,1
688006,Kottankulangara BO,285,1
688505,Champakulam East BO,285,1
688505,Pullangadi BO,285,1
688501,Chennamkary BO,285,1
688501,Kuttamangalam BO,285,1
688522,Pollethai BO,285,1
688506,Kavalam North BO,285,1
688538,Ponnad BO,285,1
688503,Nedumudy BO,285,1
688504,Kannady West BO,285,1
688504,Punnakunnathussery BO,285,1
682021,Vadacode Kailas Colony BO,286,1
683501,Manjummel BO,286,1
682008,Andikkadavu BO,286,1
683511,Neericode BO,286,1
683511,Panaikulam BO,286,1
683101,Aluvaasokapuram BO,286,1
683572,Thuravoor BO,286,1
683585,Nedumbassery BO,286,1
683578,SAduvassery BO,286,1
683561,Malayidumthuruth BO,286,1
683574,Mattoor BO,286,1
683574,Piraroor BO,286,1
683575,Thuravumkara BO,286,1
683579,Vattaparambu BO,286,1
683581,Kalady Plantation BO,286,1
683594,Elanthikara BO,286,1
688561,Illichira BO,285,1
688561,Karumady BO,285,1
688561,Purakad BO,285,1
688505,Chempumpuram BO,285,1
688501,Thottuvathala BO,285,1
688502,Chathurthiakary BO,285,1
688504,Punnakunnathussery South BO,285,1
